name,date,wins,losses,draw,current_lose_streak,current_win_streak,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_DoctoStoppage,age,Stance,winratio,location
Isaac Vallie-Flagg,2014-11-22,1,2,0,2,0,68.0,0.393333333,0.0,0.333333333,0.166666667,1,9,0,0,1,0,0,0,0,36,Orthodox,0.3333333333333333,"Albuquerque, New Mexico USA"
Islam Makhachev,2021-07-17,8,1,0,0,7,2.24,0.58,1.0,3.31,0.65,7,20,0,0,0,4,1,3,0,29,Southpaw,0.8888888888888888,Makhachkala Russia
Iuri Alcantara,2018-08-25,10,7,0,0,1,27.23529412,0.471764706,0.470588235,0.941176471,0.362352941,3,38,0,0,1,4,3,2,0,38,Southpaw,0.5882352941176471,"Soure, Para Brazil"
Ivan Jorge,2015-07-18,2,1,0,0,1,52.33333333,0.503333333,0.666666667,1.666666667,0.166666667,1,9,0,0,0,2,0,0,0,34,Orthodox,0.6666666666666666,"Florianopolis, Santa Catarina Brazil"
Ivan Menjivar,2014-03-01,4,4,0,2,0,22.5,0.4525,0.625,0.25,0.25,3,16,0,0,0,1,1,2,0,31,Orthodox,0.5,"Montreal, Quebec Canada"
JC Cottrell,2017-01-28,0,1,0,1,0,14.0,0.26,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,27,Orthodox,0.0,"Oklahoma City, Oklahoma United States"
JJ Aldrich,2021-08-28,5,3,0,0,1,4.05,0.44,0.0,0.82,0.41,3,23,0,0,1,4,0,0,0,28,Southpaw,0.625,"Westminster, Colorado USA"
Jacare Souza,2021-05-15,19,8,0,3,0,2.53,0.47,1.3,2.57,0.39,8,62,0,0,0,4,5,10,0,41,Orthodox,0.7037037037037037,Rio de Janeiro Brazil
Jack Hermansson,2021-05-22,8,4,0,1,0,4.86,0.45,0.6,2.09,0.36,4,26,0,0,0,2,3,3,0,32,Orthodox,0.6666666666666666,Oslo Norway
Jack Marshman,2020-10-31,3,4,0,1,0,2.64,0.28,0.0,0.0,0.0,1,15,0,0,1,1,1,0,0,30,Orthodox,0.42857142857142855,Abertillery South Wales
Jack May,2014-08-16,0,1,0,1,0,5.0,0.83,0.0,1.0,0.33,0,1,0,0,0,0,0,0,0,33,Switch,0.0,"Fullerton, CA USA"
Jake Collier,2021-06-12,4,4,0,0,1,5.52,0.42,0.3,0.48,0.21,1,18,0,0,1,2,1,0,0,32,Orthodox,0.5,"Cuba, Missouri USA"
Jake Ellenberger,2018-08-25,10,10,0,3,0,20.25,0.4115,0.2,1.15,0.3525,6,40,0,0,1,2,5,1,1,33,Orthodox,0.5,"Lake Forest, California USA"
Jake Lindsey,2014-10-04,0,1,0,1,0,49.0,0.65,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,28,Switch,0.0,"Manhattan, Kansas USA"
Jake Matthews,2021-03-06,10,4,0,0,3,3.03,0.44,0.6,1.93,0.41,3,34,0,0,1,4,1,4,0,26,Orthodox,0.7142857142857143,"Epping, Victoria Australia"
James Krause,2020-10-17,8,6,0,1,0,4.65,0.48,1.0,1.05,0.18,6,33,0,0,0,3,3,2,0,34,Orthodox,0.5714285714285714,"Lee's Summit, Missouri USA"
James Moontasri,2016-12-17,2,3,0,1,0,19.2,0.466,0.2,0.0,0.0,1,10,0,0,0,0,1,1,0,28,Switch,0.4,"Los Angeles, California USA"
James Te Huna,2016-03-19,5,4,0,3,0,26.77777778,0.557777778,0.111111111,1.222222222,0.164444444,4,15,0,0,0,2,3,0,0,34,Orthodox,0.5555555555555556,Penrith Australia
James Vick,2019-10-12,9,4,0,3,0,4.13,0.39,0.7,0.26,0.33,5,26,0,0,0,4,2,3,0,32,Orthodox,0.6923076923076923,"Fort Worth, Texas USA"
Jamie Moyle,2018-07-07,1,1,0,1,0,76.5,0.555,0.0,1.5,0.15,1,6,0,0,0,1,0,0,0,29,Orthodox,0.5,"Las Vegas, NV USA"
Jamie Varner,2014-12-13,3,5,0,3,0,29.875,0.39,0.75,2.875,0.64125,2,17,0,0,1,0,1,1,0,30,Orthodox,0.375,"Tempe, Arizona USA"
Jan Blachowicz,2021-03-06,10,5,0,0,4,3.59,0.49,0.2,1.18,0.53,4,39,1,0,1,3,4,2,0,38,Orthodox,0.6666666666666666,Warsaw Poland
