name,date,wins,losses,draw,current_lose_streak,current_win_streak,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_DoctoStoppage,age,Stance,Height_cms,Reach_cms,winratio
Shana Dobson,2021-02-20,2,4,0,1,0,3.34,0.37,0.0,0.84,0.5,1,1,0,0,0,0,0,0,0,31,Orthodox,167.64,175.26,0.3333333333333333
Shane Burgos,2021-05-15,6,2,0,1,0,7.29,0.49,0.1,0.27,1.0,3,22,0,0,1,2,2,1,0,30,Orthodox,180.34,190.5,0.75
Shane Campbell,2016-05-29,1,2,0,1,0,50.33333333,0.563333333,0.0,1.333333333,0.353333333,1,7,0,0,0,1,0,0,0,29,Orthodox,182.88,180.34,0.3333333333333333
Shane Carwin,2011-06-11,4,1,0,1,0,22.2,0.51,0.0,0.2,0.1,4,6,2,0,0,0,4,0,0,36,Orthodox,187.96,203.2,0.8
Shane Howell,2015-01-18,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,31,Orthodox,172.72,175.26,0.0
Shane Roller,2012-10-05,2,3,0,0,1,24.8,0.302,0.4,1.0,0.166,1,12,0,0,0,1,1,0,0,33,Orthodox,177.8,182.88,0.4
Shane Young,2021-03-27,2,2,0,1,0,5.22,0.4,0.0,0.8,0.23,2,9,0,0,0,1,1,0,0,27,Orthodox,172.72,182.88,0.5
Shane del Rosario,2012-12-15,0,1,0,1,0,32.0,0.65,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,29,Southpaw,193.04,200.66,0.0
Shanna Young,2021-10-02,0,2,0,2,0,3.04,0.53,1.0,0.0,0.0,0,5,0,0,0,0,0,0,0,30,Orthodox,170.18,165.1,0.0
Shannon Gugerty,2010-03-21,2,2,0,1,0,10.75,0.3325,1.25,1.25,0.6625,1,7,0,0,0,0,0,2,0,28,Orthodox,177.8,180.34,0.5
