,Winner,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age
115,Red,1,0,0,4.84,0.5,0.0,0.2,0.33,2,3,19,0,0,0,1,5,0,0,6,Orthodox,195.58,203.2,0,2,0,4.48,0.5,0.0,0.0,0.0,3,3,14,0,0,0,1,4,0,0,5,Southpaw,187.96,190.5,28,32
116,Red,0,2,0,4.28,0.56,0.2,1.53,0.53,2,2,16,1,0,0,4,0,0,0,4,Orthodox,167.64,172.72,1,0,0,5.61,0.39,0.1,0.22,0.5,3,4,27,0,0,1,2,1,1,0,5,Orthodox,175.26,172.72,33,31
117,Red,0,0,0,4.81,0.32,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,172.72,0,1,0,8.25,0.62,0.6,0.63,0.5,5,1,13,0,0,0,2,4,0,0,6,Switch,180.34,182.88,26,28
118,Blue,0,2,0,4.35,0.49,0.4,1.63,0.53,2,6,29,0,1,0,1,3,0,0,5,Orthodox,180.34,193.04,0,2,0,3.66,0.39,1.0,0.59,0.46,5,10,63,3,0,1,3,6,4,0,14,Orthodox,187.96,190.5,37,35
119,Blue,0,2,0,4.22,0.55,0.8,2.01,0.62,2,2,13,0,0,0,1,1,1,0,3,Orthodox,185.42,185.42,1,0,0,5.29,0.41,0.9,0.75,0.2,2,4,21,0,0,0,0,4,2,0,6,Orthodox,182.88,193.04,31,27
120,Blue,0,2,0,2.77,0.48,3.4,3.35,0.55,2,0,4,0,0,0,1,1,0,0,2,Orthodox,170.18,175.26,0,4,0,2.3,0.44,0.9,0.29,0.11,4,0,10,0,0,0,3,0,1,0,4,Southpaw,177.8,177.8,36,24
121,Blue,0,1,0,5.07,0.48,0.0,2.99,0.5,1,0,1,0,0,0,0,1,0,0,1,Switch,185.42,193.04,0,3,0,3.14,0.54,0.3,1.27,0.8,3,2,20,0,0,1,1,3,0,0,5,Orthodox,182.88,187.96,28,27
122,Red,2,0,0,3.96,0.36,0.5,0.55,0.44,3,8,42,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,1,0,0,3.8,0.38,0.1,0.29,0.5,2,3,18,1,0,0,2,0,1,0,3,Orthodox,162.56,162.56,32,34
123,Blue,0,1,0,3.18,0.42,0.0,0.91,0.27,5,6,52,0,0,2,9,2,0,0,13,Orthodox,185.42,187.96,0,1,1,2.97,0.34,0.2,2.58,0.45,3,4,35,0,0,1,5,2,1,0,9,Orthodox,182.88,185.42,33,33
124,Red,3,0,0,3.21,0.33,0.0,0.0,0.0,1,3,9,0,0,0,1,0,0,0,1,Southpaw,177.8,182.88,2,0,0,4.21,0.49,0.5,1.4,0.21,0,2,6,0,0,0,0,0,0,0,0,Switch,162.56,167.64,32,26
