,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Dongi Yang,2015-11-28,1,3,0,2,0,47.5,0.5175,0.5,1.5,0.6075,1,11,0,0,0,0,1,0,0,30,Southpaw,177.8,180.34,0.25,4,Seoul South Korea,Korea
Dooho Choi,2018-01-14,3,1,0,1,0,27.25,0.6,0.0,0.25,0.05,3,6,0,0,0,0,3,0,0,26,Orthodox,177.8,177.8,0.75,4,Busan South Korea,Korea
Douglas Silva de Andrade,2021-10-02,4,4,0,1,0,3.79,0.38,0.0,0.69,0.5,2,22,0,0,0,3,1,0,0,36,Orthodox,170.18,172.72,0.5,8,"Castanhal, Para Brazil",Brazil
Drakkar Klose,2020-03-07,5,1,0,0,3,3.98,0.52,0.0,1.67,0.3,3,18,0,0,1,4,0,0,0,31,Orthodox,175.26,177.8,0.8333333333333334,6,"Glendale, Arizona USA",USA
Drew Dober,2021-06-12,10,6,0,1,0,4.38,0.4,0.1,0.82,0.18,3,33,0,0,0,3,6,1,0,32,Southpaw,172.72,177.8,0.625,16,"Denver, Colorado USA",USA
Dustin Kimura,2014-04-16,2,1,0,0,1,10.66666667,0.243333333,2.333333333,0.0,0.0,1,5,0,0,0,0,0,2,0,24,Orthodox,170.18,180.34,0.6666666666666666,3,"Honolulu, Hawaii USA",USA
Dustin Ortiz,2019-01-19,8,5,0,0,3,35.69230769,0.446923077,0.076923077,2.461538462,0.280769231,3,34,0,0,3,1,4,0,0,30,Orthodox,165.1,165.1,0.6153846153846154,13,"Franklin, Tennessee USA",USA
Dustin Poirier,2021-07-10,20,6,0,0,2,5.62,0.5,1.2,1.5,0.36,5,64,2,1,0,6,10,3,0,32,Southpaw,175.26,182.88,0.7692307692307693,26,"Coconut Creek, Florida USA",USA
Dylan Andrews,2015-05-09,2,2,0,2,0,14.25,0.5625,0.0,1.5,0.39,2,7,0,0,0,0,2,0,0,35,Switch,185.42,185.42,0.5,4,"Gold Coast, Queensland Australia",Australia
Ed Herman,2021-08-07,13,11,0,0,3,3.28,0.48,1.1,2.08,0.48,3,55,0,0,1,3,4,5,0,40,Orthodox,185.42,195.58,0.5416666666666666,24,"Portland, Oregon USA",USA
