,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Max Holloway,2021-01-16,17,6,0,2,0,6.47,0.44,0.4,0.22,0.83,13,70,8,0,1,5,9,2,0,29,Orthodox,180.34,175.26,0.7391304347826086,23,"Waianae, Hawaii USA",USA
Maximo Blanco,2016-09-17,4,4,0,1,0,41.375,0.46625,0.25,1.375,0.46625,3,18,0,0,0,3,1,0,0,32,Orthodox,172.72,180.34,0.5,8,Tokyo Japan,Japan
Mehdi Baghdad,2016-07-07,0,1,0,1,0,1.0,0.2,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,31,Orthodox,185.42,190.5,0.0,1,"Los Angeles, California USA",USA
Melvin Guillard,2014-03-08,12,9,0,1,0,20.28571429,0.41,0.095238095,0.666666667,0.297619048,5,35,0,0,2,2,7,0,1,30,Orthodox,175.26,172.72,0.5714285714285714,21,"Coconut Creek, FL USA",USA
Michael Bisping,2017-11-25,20,8,0,1,0,55.71428571,0.383214286,0.178571429,0.928571429,0.238571429,5,78,4,0,2,8,10,0,0,38,Orthodox,185.42,190.5,0.7142857142857143,28,Manchester England,England
Michael Chiesa,2021-08-07,11,4,0,0,4,1.87,0.4,1.1,3.62,0.53,4,35,0,0,0,5,0,6,0,33,Southpaw,185.42,190.5,0.7333333333333333,15,"Spokane Valley, Washington USA",USA
Michael Graves,2016-04-16,1,0,0,0,1,27.0,0.6,0.0,7.0,0.7,1,3,0,0,0,1,0,0,0,25,Orthodox,177.8,180.34,1.0,1,"Coconut Creek, FL USA",USA
Michael Johnson,2021-02-06,11,12,0,3,0,4.23,0.38,0.1,0.51,0.45,4,58,0,0,1,6,4,0,0,34,Southpaw,177.8,185.42,0.4782608695652174,23,"Boca Raton, Florida USA",USA
Michael McBride,2017-04-22,0,1,0,1,0,16.0,0.51,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,31,Orthodox,185.42,190.5,0.0,1,"Webster City, Iowa USA",USA
Michael McDonald,2016-07-13,6,2,0,0,1,25.25,0.41,0.875,0.75,0.1875,4,18,1,0,1,1,2,2,0,25,Orthodox,175.26,177.8,0.75,8,"Modesto, California USA",USA
Michel Prazeres,2021-06-26,10,3,0,1,0,2.44,0.47,0.6,4.11,0.36,8,35,0,0,3,4,0,3,0,39,Orthodox,167.64,170.18,0.7692307692307693,13,"Belem, Para Brazil",Brazil
Michelle Waterson,2021-05-08,8,4,0,0,1,3.57,0.48,0.8,1.4,0.32,4,36,0,0,2,2,0,4,0,35,Orthodox,160.02,157.48,0.6666666666666666,12,"Albuquerque, NM USA",USA
Michinori Tanaka,2016-09-24,2,1,0,0,1,33.33333333,0.406666667,0.333333333,3.0,0.526666667,1,9,0,0,1,1,0,0,0,25,Orthodox,165.1,170.18,0.6666666666666666,3,Kanagawa Japan,Japan
Mickael Lebout,2015-10-24,1,1,0,0,1,45.0,0.46,0.0,0.0,0.0,1,6,0,0,0,1,0,0,0,28,Orthodox,180.34,185.42,0.5,2,Paris France,France
Mickey Gall,2021-07-24,5,3,0,1,0,2.6,0.46,2.4,1.32,0.28,3,16,0,0,0,1,0,4,0,29,Switch,187.96,187.96,0.625,8,"Green Brook, New Jersey USA",USA
Miesha Tate,2021-07-17,11,6,0,2,0,2.13,0.42,1.5,2.16,0.32,5,48,3,1,0,6,0,4,0,34,Orthodox,167.64,165.1,0.6470588235294118,17,"Las Vegas, Nevada USA",USA
Mike Easton,2014-06-14,3,3,0,3,0,51.5,0.371666667,0.0,0.833333333,0.2,3,17,0,1,0,1,1,0,0,30,Southpaw,167.64,177.8,0.5,6,"Camp Springs, MD USA",USA
Mike Jackson,2018-06-09,0,1,0,1,0,3.0,0.5,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,33,Orthodox,187.96,188.0,0.0,1,"Houston, Texas USA",USA
Mike Perry,2021-04-10,7,7,0,1,0,4.32,0.47,0.2,0.81,0.4,2,33,0,0,1,2,4,0,0,29,Orthodox,177.8,180.34,0.5,14,"Orlando, Florida USA",USA
Mike Pierce,2015-12-11,9,4,0,1,0,30.76923077,0.456923077,0.230769231,2.384615385,0.388461538,4,34,0,0,1,4,3,1,0,35,Orthodox,172.72,177.8,0.6923076923076923,13,"Portland, OR USA",USA
Mike Pyle,2018-03-03,10,8,0,2,0,21.05555556,0.385,0.777777778,0.888888889,0.210555556,4,36,0,0,1,2,5,2,0,42,Orthodox,182.88,187.96,0.5555555555555556,18,"Las Vegas, Nevada USA",USA
Mike Rhodes,2014-12-20,0,2,0,2,0,49.0,0.4,0.5,1.0,0.25,0,6,0,0,0,0,0,0,0,25,Orthodox,185.42,187.96,0.0,2,"Milwaukee, Wisconsin USA",USA
Mike Rio,2014-01-25,1,2,0,2,0,13.0,0.463333333,0.333333333,1.666666667,0.23,1,5,0,0,0,0,0,1,0,32,Orthodox,177.8,180.34,0.3333333333333333,3,"Miami, FL USA",USA
Mike Swick,2015-07-11,10,4,0,1,0,19.14285714,0.44,0.357142857,0.571428571,0.315714286,5,28,0,1,0,2,5,2,0,36,Orthodox,185.42,195.58,0.7142857142857143,14,Phuket Thailand,Thailand
Mike Wilkinson,2016-02-27,2,1,0,0,1,21.33333333,0.576666667,0.0,0.666666667,0.36,1,5,0,0,0,1,1,0,0,28,Orthodox,170.18,172.72,0.6666666666666666,3,"Leigh, Lancashire England",England
Mike de la Torre,2017-04-08,2,4,0,1,0,22.16666667,0.401666667,0.0,0.166666667,0.083333333,1,10,0,0,1,0,1,0,0,30,Orthodox,180.34,180.34,0.3333333333333333,6,"Glendale, Arizona USA",USA
Milana Dudieva,2016-11-19,1,1,0,1,0,5.5,0.15,0.0,1.5,0.45,1,4,0,0,1,0,0,0,0,27,Orthodox,160.02,154.94,0.5,2,Alagir Russia,Russia
Minotauro Nogueira,2015-08-01,5,5,0,2,0,20.5,0.378,1.0,0.7,0.131,2,19,2,0,0,2,1,2,0,39,Orthodox,190.5,195.58,0.5,10,Rio de Janeiro Brazil,Brazil
Mirko Cro Cop,2015-04-11,4,6,0,3,0,21.5,0.436,0.3,0.2,0.2,2,23,0,0,0,0,2,1,1,40,Southpaw,187.96,185.42,0.4,10,Zagreb Croatia,Croatia
Mirsad Bektic,2020-09-19,6,3,0,2,0,2.59,0.41,0.5,3.32,0.47,4,20,0,1,1,1,2,1,0,29,Orthodox,172.72,177.8,0.6666666666666666,9,"Coconut Creek, Florida USA",USA
Misha Cirkunov,2021-10-02,6,4,0,1,0,3.77,0.49,1.7,4.48,0.44,4,13,0,0,0,0,1,5,0,34,Orthodox,190.5,195.58,0.6,10,"Toronto, Ontario Canada",Canada
Mitch Clarke,2017-09-09,2,4,0,2,0,23.0,0.321666667,0.333333333,0.5,0.061666667,2,14,0,0,0,1,0,1,0,31,Orthodox,177.8,185.42,0.3333333333333333,6,"Edmonton, Alberta Canada",Canada
Mitch Gagnon,2016-12-10,4,2,0,1,0,28.16666667,0.435,1.333333333,0.833333333,0.31,4,12,0,0,0,1,0,3,0,32,Southpaw,165.1,165.1,0.6666666666666666,6,"Sudbury, Ontario Canada",Canada
Mizuto Hirota,2018-12-01,1,5,0,2,0,58.0,0.38,0.0,1.5,0.375,1,18,0,0,0,1,0,0,0,37,Orthodox,170.18,170.18,0.16666666666666666,6,Tokyo Japan,Japan
Myles Jury,2019-02-17,8,3,0,1,0,22.81818182,0.366363636,0.181818182,1.454545455,0.450909091,6,22,0,0,1,3,3,1,0,30,Orthodox,177.8,185.42,0.7272727272727273,11,"Gilbert, Arizona USA",USA
Nam Phan,2014-03-01,2,5,0,2,0,83.28571429,0.361428571,0.142857143,0.142857143,0.142857143,1,21,0,0,1,1,0,0,0,30,Orthodox,167.64,177.8,0.2857142857142857,7,"Little Saigon, CA USA",USA
Naoyuki Kotani,2015-09-26,0,4,0,4,0,8.5,0.2775,0.75,0.5,0.375,0,9,0,0,0,0,0,0,0,33,Southpaw,172.72,167.64,0.0,4,Kanagawa Japan,Japan
Nate Diaz,2021-06-12,19,11,0,1,0,4.51,0.45,1.3,1.1,0.3,5,72,1,0,1,3,4,11,0,36,Southpaw,182.88,193.04,0.6333333333333333,30,"Stockton, California USA",USA
Nate Marquardt,2017-11-11,13,11,0,2,0,24.95833333,0.51875,0.583333333,1.375,0.45625,4,51,1,0,0,4,6,3,0,38,Orthodox,182.88,187.96,0.5416666666666666,24,"Denver, Colorado USA",USA
Nathan Coy,2017-04-15,1,1,0,0,1,24.0,0.365,0.0,2.0,0.8,1,4,0,0,0,1,0,0,0,38,Southpaw,177.8,175.26,0.5,2,"Coconut Creek, FL USA",USA
Neil Magny,2021-05-08,17,7,0,1,0,3.67,0.46,0.3,2.44,0.42,7,66,0,0,1,10,5,1,0,33,Orthodox,190.5,203.2,0.7083333333333334,24,"Denver, Colorado USA",USA
Neil Seery,2017-07-16,3,3,0,1,0,43.66666667,0.406666667,1.666666667,0.833333333,0.288333333,2,17,0,0,0,2,0,1,0,37,Orthodox,162.56,162.56,0.5,6,Dublin Ireland,Ireland
Nick Catone,2014-02-01,3,4,0,2,0,23.57142857,0.515714286,0.428571429,2.571428571,0.544285714,2,18,0,0,1,1,0,1,0,32,Southpaw,182.88,182.88,0.42857142857142855,7,"Brick, NJ USA",USA
Nick Diaz,2021-09-25,19,7,0,2,0,5.71,0.42,1.0,1.28,0.32,11,70,2,0,1,2,10,6,0,38,Southpaw,185.42,193.04,0.7307692307692307,26,"Stockton, California USA",USA
Nick Hein,2019-06-01,4,3,0,2,0,34.14285714,0.317142857,0.0,0.714285714,0.151428571,3,19,0,0,0,4,0,0,0,35,Southpaw,167.64,167.64,0.5714285714285714,7,Cologne Germany,Germany
Nico Musoke,2017-05-28,3,2,0,1,0,45.6,0.398,0.2,1.0,0.346,2,13,0,0,0,2,0,1,0,31,Orthodox,182.88,190.5,0.6,5,Stockholm Sweden,Sweden
Nicolas Dalby,2021-06-26,3,2,1,0,2,3.2,0.37,0.0,1.45,0.33,2,19,0,0,1,2,0,0,0,36,Orthodox,180.34,187.96,0.5,6,Copenhagen Denmark,Denmark
Nik Lentz,2021-01-23,14,8,1,2,0,3.46,0.48,1.2,3.41,0.33,4,64,0,0,2,7,3,2,0,36,Orthodox,172.72,172.72,0.6086956521739131,23,"Coconut Creek, Florida USA",USA
Nikita Krylov,2021-02-27,8,5,0,0,1,4.33,0.56,1.3,1.34,0.33,5,23,0,0,0,1,3,4,0,28,Orthodox,190.5,195.58,0.6153846153846154,13,Donetsk Ukraine,Ukraine
Niklas Backstrom,2015-06-20,1,1,0,1,0,6.0,0.495,1.0,0.0,0.0,1,2,0,0,0,0,0,1,0,25,Orthodox,185.42,187.96,0.5,2,Stockholm Sweden,Sweden
Niko Price,2021-10-02,6,5,0,2,0,5.16,0.42,0.8,0.79,0.22,2,24,0,0,0,0,4,2,0,32,Orthodox,182.88,193.04,0.5454545454545454,11,"Cape Coral, Florida USA",USA
Nina Ansaroff,2019-06-08,4,2,0,0,4,75.16666667,0.47,0.666666667,0.333333333,0.25,4,18,0,0,0,3,0,1,0,33,Orthodox,165.1,162.56,0.6666666666666666,6,"Weston, FL USA",USA
Ning Guangyou,2016-11-26,2,1,0,1,0,33.33333333,0.403333333,0.333333333,1.333333333,0.553333333,2,8,1,0,0,1,1,0,0,34,Southpaw,162.56,162.56,0.6666666666666666,3,Beijing China,China
Noad Lahat,2016-02-06,2,1,0,0,2,33.0,0.466666667,1.0,1.666666667,0.186666667,2,7,0,1,0,1,0,0,0,31,Orthodox,175.26,175.26,0.6666666666666666,3,"San Jose, California USA",USA
Nolan Ticman,2015-05-16,0,1,0,1,0,25.0,0.47,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,26,Orthodox,167.64,175.26,0.0,1,"Huntington Beach, California USA",USA
Nordine Taleb,2019-09-07,7,4,0,0,1,3.66,0.51,0.0,1.94,0.76,3,26,0,0,1,4,2,0,0,38,Orthodox,185.42,187.96,0.6363636363636364,11,"Montreal, Quebec Canada",Canada
Norifumi Yamamoto,2012-02-25,0,2,0,2,0,15.5,0.385,0.0,0.5,0.125,0,6,0,0,0,0,0,0,0,34,Southpaw,162.56,167.64,0.0,2,Tokyo Japan,Japan
Norman Parke,2016-02-27,5,3,0,0,1,47.125,0.36,0.0,2.0,0.4125,3,23,1,0,0,4,1,0,0,29,Southpaw,180.34,177.8,0.625,8,Bushmills Northern Ireland,Ireland
Olivier Aubin-Mercier,2019-07-27,7,4,0,2,0,2.48,0.51,0.5,2.36,0.33,4,29,0,0,1,1,1,4,0,30,Southpaw,175.26,177.8,0.6363636363636364,11,"Montreal, Quebec Canada",Canada
Oluwale Bamgbose,2017-12-16,1,3,0,2,0,17.0,0.475,0.0,0.5,0.1,1,7,0,0,0,0,1,0,0,30,Switch,180.34,198.12,0.25,4,"New York, New York USA",USA
Omari Akhmedov,2021-07-10,9,4,1,0,1,2.97,0.34,0.2,2.58,0.45,3,35,0,0,1,5,2,1,0,33,Orthodox,182.88,185.42,0.6428571428571429,14,Makhachkala Russia,Russia
Ovince Saint Preux,2021-06-26,19,11,0,1,0,2.68,0.46,0.6,1.19,0.4,5,69,1,1,0,4,9,5,0,38,Southpaw,190.5,203.2,0.6333333333333333,30,"Knoxville, Tennessee USA",USA
Paddy Holohan,2015-10-24,3,1,0,0,2,26.5,0.46,1.25,1.75,0.395,2,10,0,0,0,2,0,1,0,27,Orthodox,177.8,175.26,0.75,4,"Tallaght, Dublin Ireland",Ireland
Paige VanZant,2020-07-11,5,3,0,0,1,3.4,0.52,1.0,1.31,0.33,3,22,0,0,0,1,2,2,0,26,Orthodox,162.56,165.1,0.625,8,"Sacramento, California USA",USA
Pat Healy,2014-07-16,0,5,0,5,0,40.2,0.38,0.4,1.8,0.214,0,13,0,0,0,0,0,0,0,30,Orthodox,182.88,187.96,0.0,5,"Portland, OR USA",USA
Patrick Cote,2017-04-08,10,10,0,1,0,30.9,0.4615,0.2,0.5,0.133,4,50,2,0,1,4,4,0,0,37,Orthodox,180.34,180.34,0.5,20,"Montreal, Quebec Canada",Canada
Patrick Cummins,2019-05-18,6,6,0,2,0,39.66666667,0.495833333,0.083333333,2.833333333,0.3025,3,26,0,0,1,3,2,0,0,38,Orthodox,187.96,193.04,0.5,12,"Dana Point, California USA",USA
Patrick Walsh,2015-02-14,1,0,0,0,1,11.0,0.45,3.0,5.0,0.71,1,3,0,0,0,1,0,0,0,26,Southpaw,180.34,180.34,1.0,1,"Stoughton, Massachusetts USA",USA
Patrick Williams,2018-04-14,1,2,0,1,0,17.66666667,0.466666667,0.333333333,1.333333333,0.386666667,1,5,0,0,0,0,0,1,0,36,Orthodox,172.72,185.42,0.3333333333333333,3,"Homestead, Florida USA",USA
Paul Craig,2021-06-12,6,4,1,0,3,2.59,0.51,1.9,2.06,0.25,2,21,0,0,0,0,1,5,0,33,Orthodox,190.5,193.04,0.5454545454545454,11,Coatbridge Scotland,Scotland
Paul Felder,2020-11-14,9,5,0,1,0,3.67,0.43,0.2,0.25,0.25,3,38,0,0,2,2,4,1,0,36,Orthodox,180.34,177.8,0.6428571428571429,14,"Philadelphia, Pennsylvania USA",USA
Paul Redmond,2015-07-18,0,1,0,1,0,2.0,0.28,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,28,Orthodox,177.8,177.8,0.0,1,Dublin Ireland,Ireland
Paulo Thiago,2014-09-13,5,7,0,2,0,18.16666667,0.345,1.0,1.166666667,0.256666667,2,29,0,0,0,3,1,1,0,33,Orthodox,180.34,185.42,0.4166666666666667,12,Brazilia Brazil,Brazil
Pawel Pawlak,2015-07-18,1,1,0,0,1,25.5,0.375,0.0,1.5,0.375,1,6,0,0,0,1,0,0,0,26,Orthodox,182.88,185.42,0.5,2,Lodz Poland,Poland
Pedro Munhoz,2021-08-07,9,5,0,0,1,5.55,0.43,0.7,0.62,0.21,4,34,0,0,0,3,3,3,0,34,Orthodox,167.64,165.1,0.6428571428571429,14,"Los Angeles, CA USA",USA
Peter Sobotta,2020-07-25,4,5,0,1,0,2.17,0.39,0.6,1.76,0.35,2,22,0,0,0,2,1,1,0,33,Southpaw,182.88,190.5,0.4444444444444444,9,"Au, Balingen Germany",Germany
Phil Davis,2015-01-24,9,3,0,0,1,37.5,0.408333333,0.5,2.583333333,0.400833333,5,32,0,0,0,6,0,3,0,30,Orthodox,187.96,200.66,0.75,12,"San Diego, California USA",USA
Phil Harris,2014-07-19,1,3,0,2,0,15.0,0.375,0.0,0.75,0.415,1,7,0,0,0,1,0,0,0,30,Orthodox,162.56,162.56,0.25,4,Portsmouth England,England
Phillipe Nover,2017-02-11,1,5,0,2,0,18.83333333,0.34,0.666666667,1.0,0.083333333,1,16,1,0,1,0,0,0,0,33,Orthodox,175.26,182.88,0.16666666666666666,6,"Brooklyn, New York USA",USA
Piotr Hallmann,2015-11-07,2,3,0,2,0,49.0,0.472,0.4,2.2,0.47,1,13,0,0,0,0,0,2,0,28,Orthodox,175.26,180.34,0.4,5,Gdynia Poland,Poland
Polo Reyes,2019-02-23,4,1,0,0,1,45.8,0.382,0.0,0.0,0.0,3,9,0,0,1,0,3,0,0,34,Orthodox,180.34,180.34,0.8,5,"Tepic, Nayarit Mexico",Mexico
Rafael Dos Anjos,2020-11-14,18,11,0,2,0,3.47,0.45,0.6,1.82,0.39,5,86,4,0,0,10,4,4,0,36,Southpaw,172.72,177.8,0.6206896551724138,29,Rio de Janeiro Brazil,Brazil
Rafael Feijao,2016-02-06,1,3,0,2,0,18.25,0.4825,0.0,0.0,0.0,1,8,0,0,0,0,1,0,0,35,Orthodox,185.42,185.42,0.25,4,Rio de Janeiro Brazil,Brazil
Rafael Natal,2016-11-12,9,6,0,1,0,42.46666667,0.481333333,0.466666667,2.4,0.290666667,4,42,0,0,2,5,1,1,0,33,Orthodox,182.88,193.04,0.6,15,"New York, New York USA",USA
Rafaello Oliveira,2014-02-22,2,5,0,1,0,26.28571429,0.381428571,1.285714286,2.0,0.284285714,1,18,0,0,0,2,0,0,0,32,Orthodox,172.72,180.34,0.2857142857142857,7,"Whippany, NJ USA",USA
Rampage Jackson,2015-04-25,7,5,0,3,0,34.58333333,0.4575,0.0,0.5,0.214166667,3,36,4,0,1,3,3,0,0,36,Orthodox,185.42,185.42,0.5833333333333334,12,"Irvine, CA USA",USA
Ramsey Nijem,2014-08-30,5,3,0,0,2,26.375,0.3725,0.75,2.75,0.57625,3,15,1,0,0,3,2,0,0,26,Orthodox,180.34,190.5,0.625,8,"San Francisco, CA USA",USA
Randa Markos,2021-05-01,6,9,1,3,0,2.87,0.42,0.2,1.2,0.28,1,42,0,0,2,3,0,1,0,35,Orthodox,162.56,160.02,0.375,16,"Windsor, Ontario Canada",Canada
Randy Brown,2021-04-24,6,4,0,1,0,3.72,0.47,0.7,0.98,0.46,2,25,0,0,0,2,2,2,0,30,Orthodox,190.5,198.12,0.6,10,"Queens, New York USA",USA
Rani Yahya,2021-03-13,15,7,1,1,0,1.57,0.37,2.0,2.89,0.33,4,55,0,0,1,4,0,10,0,36,Orthodox,167.64,170.18,0.6521739130434783,23,Brazilia Brazil,Brazil
Raphael Assuncao,2020-06-06,14,6,0,2,0,3.32,0.41,0.3,1.54,0.38,7,54,0,0,4,7,2,1,0,37,Orthodox,165.1,167.64,0.7,20,"Alpharetta, Georgia  USA",USA
Raquel Pennington,2021-09-18,8,5,0,0,1,3.59,0.49,0.7,1.11,0.28,4,38,1,0,2,4,0,2,0,33,Orthodox,170.18,170.18,0.6153846153846154,13,"Colorado Spring, Colorado USA",USA
Rashad Evans,2018-06-09,14,8,0,4,0,27.86363636,0.387272727,0.0,2.409090909,0.349090909,5,61,4,1,4,3,6,0,0,38,Orthodox,182.88,190.5,0.6363636363636364,22,"Boca Raton, Florida USA",USA
Rashid Magomedov,2017-04-15,4,1,0,1,0,64.2,0.53,0.2,0.8,0.4,4,15,0,0,0,3,1,0,0,32,Orthodox,175.26,177.8,0.8,5,Russia Russia,Russia
Ray Borg,2020-05-13,7,4,0,0,2,1.36,0.52,1.1,4.26,0.51,3,33,1,0,0,5,0,2,0,26,Orthodox,162.56,160.02,0.6363636363636364,11,"Albuquerque, New Mexico USA",USA
Reginaldo Vieira,2016-07-07,1,0,0,0,1,59.0,0.56,2.0,0.0,0.0,1,3,1,0,0,1,0,0,0,33,Orthodox,170.18,165.1,1.0,1,Sao Paulo Brazil,Brazil
Renan Barao,2019-02-17,9,6,0,3,0,54.93333333,0.379333333,0.333333333,1.466666667,0.282,7,46,6,0,0,4,2,3,0,32,Orthodox,167.64,177.8,0.6,15,Rio de Janeiro Brazil,Brazil
Renato Moicano,2021-06-26,6,4,0,1,0,5.4,0.46,0.6,1.28,0.53,3,20,0,0,2,1,0,3,0,32,Orthodox,180.34,182.88,0.6,10,Brazilia Brazil,Brazil
Renee Forte,2013-09-21,1,1,0,0,1,36.5,0.365,0.0,1.0,0.33,1,6,0,0,0,1,0,0,0,26,Orthodox,170.18,180.34,0.5,2,"Fortaleza, Ceara Brazil",Brazil
Reza Madadi,2017-05-28,3,3,0,1,0,33.33333333,0.566666667,0.5,2.333333333,0.428333333,1,17,0,0,0,0,1,2,0,38,Orthodox,180.34,182.88,0.5,6,Stockholm Sweden,Sweden
Ricardo Abreu,2015-06-06,1,0,0,0,1,33.0,0.32,1.0,0.0,0.0,1,2,0,0,0,0,0,1,0,31,Orthodox,180.34,185.42,1.0,1,"Huntington Beach, California USA",USA
Ricardo Lamas,2019-06-08,10,5,0,0,1,32.26666667,0.478,0.666666667,1.066666667,0.301333333,4,34,1,0,0,3,4,3,0,37,Orthodox,172.72,180.34,0.6666666666666666,15,"Chicago, Illinois USA",USA
Ricardo Ramos,2021-05-22,5,2,0,1,0,3.1,0.41,0.7,3.08,0.58,3,15,0,0,1,2,1,1,0,25,Orthodox,175.26,182.88,0.7142857142857143,7,"Campinas, Sao Paulo Brazil",Brazil
Richard Walsh,2016-11-26,2,3,0,1,0,55.8,0.506,0.0,1.2,0.176,1,13,0,0,0,2,0,0,0,27,Orthodox,182.88,185.42,0.4,5,"North Shore , Sydney Australia",Australia
Richardson Moreira,2015-01-31,0,1,0,1,0,3.0,0.75,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,30,Orthodox,187.96,182.88,0.0,1,Rio de Janeiro Brazil,Brazil
Richie Vaculik,2015-11-14,1,2,0,1,0,34.33333333,0.446666667,1.0,2.0,0.42,1,7,0,0,0,1,0,0,0,32,Orthodox,167.64,175.26,0.3333333333333333,3,"Marouba Beach, Sydney Australia",Australia
Rick Glenn,2018-07-14,2,2,0,1,0,66.5,0.3925,0.25,1.0,0.1425,2,12,0,0,1,1,0,0,0,29,Southpaw,182.88,177.8,0.5,4,"Milwuakee, Wisconsin USA",USA
Rick Story,2016-08-20,12,6,0,0,3,49.11111111,0.427222222,0.777777778,2.166666667,0.567777778,6,49,0,0,3,5,2,2,0,31,Southpaw,175.26,180.34,0.6666666666666666,18,"Vancouver, Washington USA",USA
Rin Nakai,2016-03-19,0,1,0,1,0,16.0,0.34,0.0,3.0,0.15,0,3,0,0,0,0,0,0,0,29,Orthodox,154.94,152.4,0.0,1,Ehime Japan,Japan
Roan Carneiro,2017-02-11,4,4,0,0,1,14.25,0.445,1.125,2.25,0.42,1,17,0,0,1,1,1,1,0,38,Orthodox,180.34,187.96,0.5,8,"Atlanta, Georgia USA",USA
Rob Font,2021-05-22,8,3,0,0,3,5.58,0.43,0.6,1.2,0.4,3,22,0,0,0,2,5,1,0,33,Orthodox,172.72,180.34,0.7272727272727273,11,"Woburn, Massachusetts USA",USA
Rob Whiteford,2016-04-10,2,2,0,1,0,21.0,0.4875,0.0,1.5,0.3375,2,9,0,0,0,1,1,0,0,32,Southpaw,175.26,175.26,0.5,4,Glasgow Scotland,Scotland
Robbie Lawler,2021-09-25,19,14,0,4,0,3.73,0.46,0.0,0.66,0.64,5,91,5,0,3,4,12,0,0,39,Southpaw,180.34,187.96,0.5757575757575758,33,"Coconut Creek, Florida USA",USA
Robert Peralta,2015-04-04,4,3,0,1,0,39.71428571,0.391428571,0.0,0.571428571,0.428571429,2,17,0,0,1,1,2,0,0,29,Orthodox,172.72,180.34,0.5714285714285714,7,"Escondido, California USA",USA
Robert Whittaker,2021-04-17,13,3,0,0,2,4.68,0.41,0.0,0.64,0.34,9,45,2,0,1,7,5,0,0,30,Orthodox,182.88,185.42,0.8125,16,"Sydney, NSW Australia",Australia
Rodrigo Damm,2015-01-03,3,3,0,2,0,49.83333333,0.393333333,0.333333333,0.5,0.213333333,2,16,0,0,1,1,0,1,0,34,Orthodox,170.18,180.34,0.5,6,"Vila Velha, Espirito Santo Brazil",Brazil
Rodrigo de Lima,2015-02-14,0,1,0,1,0,5.0,0.35,2.0,1.0,0.33,0,2,0,0,0,0,0,0,0,23,Orthodox,170.18,190.5,0.0,1,"Macapa, Amapa Brazil",Brazil
Roger Narvaez,2015-03-14,1,1,0,0,1,25.5,0.28,1.0,0.0,0.0,1,5,0,0,1,0,0,0,0,31,Southpaw,190.5,200.66,0.5,2,"Corpus Christi, Texas USA",USA
Rogerio Nogueira,2020-07-25,19,8,0,1,0,2.39,0.34,0.8,0.67,0.44,7,57,0,0,3,4,8,4,0,44,Southpaw,187.96,190.5,0.7037037037037037,27,Rio de Janeiro Brazil,Brazil
Roland Delorme,2013-09-21,3,1,0,0,1,25.0,0.505,1.5,2.25,0.285,2,8,0,0,0,1,0,2,0,29,Orthodox,175.26,180.34,0.75,4,"Winnipeg, Manitoba Canada",Canada
Roldan Sangcha-an,2015-05-16,0,1,0,1,0,36.0,0.44,0.0,1.0,0.5,0,3,0,0,0,0,0,0,0,24,Orthodox,162.56,165.1,0.0,1,Baguio City Philippines,Philippines
Roman Salazar,2015-08-08,0,2,0,2,0,9.5,0.41,0.0,0.5,0.25,0,3,0,0,0,0,0,0,0,27,Orthodox,170.18,170.18,0.0,2,"Scottsdale, Arizona USA",USA
Ron Stallings,2015-09-05,1,1,0,0,1,30.0,0.57,0.0,0.0,0.0,1,4,0,0,0,1,0,0,0,32,Southpaw,187.96,190.5,0.5,2,"Camp Springs, Maryland USA",USA
Ronda Rousey,2016-12-30,6,1,0,1,0,15.85714286,0.492857143,0.714285714,1.142857143,0.392857143,6,10,7,0,0,0,3,3,0,29,Orthodox,170.18,172.72,0.8571428571428571,7,"Venice, California USA",USA
Ronny Markes,2014-03-23,3,1,0,1,0,31.25,0.545,0.5,3.0,0.455,3,12,0,0,1,2,0,0,0,25,Orthodox,185.42,190.5,0.75,4,Rio de Janeiro Brazil,Brazil
Rony Jason,2017-03-11,4,4,0,3,0,17.125,0.46375,0.5,0.375,0.16625,3,15,1,0,0,1,2,1,0,32,Orthodox,170.18,177.8,0.5,8,"Quixada, Ceara Brazil",Brazil
Rory MacDonald,2016-06-18,9,3,0,1,0,50.5,0.444166667,0.416666667,1.75,0.379166667,5,33,1,0,0,5,3,1,0,26,Orthodox,182.88,193.04,0.75,12,"Montreal, Quebec Canada",Canada
Rose Namajunas,2021-04-24,7,3,0,0,1,4.13,0.4,0.8,1.89,0.53,3,28,4,0,1,2,1,3,0,28,Orthodox,165.1,165.1,0.7,10,"Denver, Colorado USA",USA
Ross Pearson,2019-03-30,12,13,0,1,0,44.08,0.4144,0.0,0.6,0.32,3,65,1,0,2,5,4,0,1,34,Orthodox,172.72,175.26,0.48,25,Sunderland England,England
